ID,Tool Name,Tool Page URL,Category,Category URL,Subcategory,Source Subcategory URL,Source,Unnamed: 0,Source URL
0,,https://www.futurepedia.io/tool/mypeas-ai,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,,
1,,https://www.futurepedia.io/tool/monica,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,,
2,,https://www.futurepedia.io/tool/you,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,,
3,,https://www.futurepedia.io/tool/jigso,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,,
4,,https://www.futurepedia.io/tool/flash,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,,
5,,https://www.futurepedia.io/tool/dream-interpreter,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,,
6,,https://www.futurepedia.io/tool/notion-ai,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,,
7,,https://www.futurepedia.io/tool/timeos,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,,
8,,https://www.futurepedia.io/tool/watchnow-ai,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,,
9,,https://www.futurepedia.io/tool/socratic-by-google,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,,
10,,https://www.futurepedia.io/tool/casper-ai,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,,
11,,https://www.futurepedia.io/tool/microsoft-bing,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,,
12,,https://www.futurepedia.io/tool/excel-formula-bot,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,,
13,,https://www.futurepedia.io/tool/meetgeek,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,,
14,,https://www.futurepedia.io/tool/suggest-gift,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,,
15,,https://www.futurepedia.io/tool/ai-trip-planner,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,,
16,,https://www.futurepedia.io/tool/endel,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,,
17,,https://www.futurepedia.io/tool/yoodli-ai,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,,
18,,https://www.futurepedia.io/tool/rewind-ai,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,,
19,,https://www.futurepedia.io/tool/echowin,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,,
20,,https://www.futurepedia.io/tool/resume-worded,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,,
21,,https://www.futurepedia.io/tool/iapply,Show all AI Productivity Tools,https://www.futurepedia.io/ai-tools/productivity,Personal Assistant,https://www.futurepedia.io/ai-tools/personal-assistant,futurepedia,,
